Id,SalePrice
1461,120938.51465061013
1462,155700.2943376802
1463,182314.21472651453
1464,195043.1670751861
1465,196496.98158347415
1466,172088.52329148035
1467,177416.48028366079
1468,162195.50104918308
1469,193505.9888038581
1470,120533.27687412969
1471,186729.95498186554
1472,96688.14121519889
1473,94952.00008716129
1474,145747.00851043858
1475,113380.14663099297
1476,362218.48958942195
1477,250265.06129800132
1478,295016.0041215499
1479,290196.9095128871
1480,489289.5854022708
1481,326160.4670291279
1482,211534.1395297588
1483,177619.45126794855
1484,161166.90830960794
1485,189428.37555780675
1486,194374.57676909782
1487,338694.76676162577
1488,238344.90937383808
1489,196529.55205408213
1490,234089.42013045916
1491,194385.3966260362
1492,92948.83288238323
1493,191363.71402939517
1494,292835.7924962485
1495,292100.1091689428
1496,236714.70473422774
1497,179870.7028598044
1498,168302.48622576953
1499,162618.02957310574
1500,155892.163024877
1501,174126.842043641
1502,145678.9145374024
1503,289703.46189667407
1504,242352.978656052
1505,226404.21731691508
1506,187490.80301237525
1507,243302.1704900401
1508,201458.16274287368
1509,163237.8928379651
1510,143704.86757018458
1511,149850.9870959626
1512,175166.39490056806
1513,150237.76003671676
1514,152697.07454359744
1515,193450.66280436417
1516,154392.73172451765
1517,168126.61042976734
1518,132507.96239081078
1519,213949.00538636209
1520,128486.05361428748
1521,131644.70970382146
1522,177784.3761389722
1523,111115.40539191736
1524,125765.38296124987
1525,120033.87411004139
1526,113207.10150819109
1527,107296.2062469565
1528,137215.26476309056
1529,150415.2662274861
1530,182914.42781466673
1531,108440.86865125722
1532,97914.2297380938
1533,144794.90458396298
1534,125760.19076822452
1535,145619.94022550806
1536,107228.62686784452
1537,64163.537687611395
1538,153773.79243571096
1539,194429.85079950915
1540,95253.73330564248
1541,138827.45009356237
1542,139782.7438793723
1543,193113.3120398267
1544,85119.52322231184
1545,115714.46840161578
1546,135088.7811759067
1547,128704.847776497
1548,140114.70963654917
1549,121028.52110348268
1550,134993.31731457225
1551,109242.60057766213
1552,135056.53259285016
1553,145260.35586669506
1554,117192.48513433228
1555,161885.38597479416
1556,86657.79579291049
1557,104484.0736943741
1558,98403.71315773923
1559,68554.9346604213
1560,130867.25889117528
1561,126900.90713519561
1562,129297.83078752298
1563,118392.3927057215
1564,154023.79123159597
1565,150642.31456498528
1566,240760.33952576117
1567,77316.40525803828
1568,230782.03302234155
1569,126319.22774380223
1570,137888.8950684757
1571,122077.0649415357
1572,142314.74787443687
1573,234996.53664398586
1574,114761.69407762296
1575,228734.67690148918
1576,242465.60079586724
1577,183090.10559615283
1578,149309.62112171954
1579,143449.85877570655
1580,196990.68760947438
1581,154103.74648106878
1582,125603.17937448695
1583,294535.87473451335
1584,219107.03957882582
1585,136194.3571132856
1586,66653.78076359702
1587,105832.20988740581
1588,151585.14028298674
1589,97891.41875945138
1590,132705.5579252679
1591,91323.07595049415
1592,116733.02858549665
1593,126936.49183823982
1594,124764.83489702844
1595,107108.91197936883
1596,221121.2501077103
